"536","John Butler","Por","F","20.3","19","11.6","11","1.8","4","0.75","18","0.5","35","0.229","0.396","0.411","2.4","0.9","0.6","0.4","0.5","0.1","3.3","2.9","3.8","3.8","97.3","113.2"
"537","Jeff Dowtin","Tor","G","25.9","25","10.3","10.9","8","9","0.667","41","0.488","16","0.313","0.482","0.5","2.4","0.9","1.2","0.4","0.1","0.2","3.4","3.7","4.6","5.3","117.6","114.5"
"538","Sandro Mamukelashvili","Mil","F-C","23.9","24","9.1","14.5","13.4","18","0.667","26","0.462","32","0.219","0.388","0.432","2.4","2.3","0.7","0.2","0.2","0.4","4.7","3","5.4","6.9","102.2","105.5"
"539","Theo Pinson","Dal","G-F","27.4","39","8.3","14.7","12.1","13","0.846","25","0.36","62","0.355","0.483","0.512","2.4","1.6","1.2","0.2","0","0.3","4.1","3.6","5.3","8","115","107.8"
"540","Neemias Queta","Sac","C","23.7","5","5.7","16.3","10","2","0","9","0.667","0","0","0.667","0.607","2.4","2.2","0.2","0","0.4","0.2","4.6","2.6","4.8","7.1","128.8","93.3"
"541","Garrett Temple","Nor","G-F","36.9","21","6.6","14.2","9","4","0.75","17","0.412","23","0.478","0.588","0.599","2.4","0.8","0.6","0.3","0.1","0.2","3.1","3","3.7","6.4","123","107.1"
"542","Trent Forrest","Atl","G","24.8","23","12","11.6","19.9","3","0.667","58","0.431","2","0","0.417","0.424","2.3","1.6","1.7","0.3","0.1","0.7","3.9","3.9","5.5","6.1","93.2","114.2"
"543","Nerlens Noel","Det","C-F","29","14","10.8","11.9","20.9","10","0.7","28","0.393","2","0.5","0.417","0.465","2.3","2.6","0.5","0.9","0.6","0.6","4.9","2.8","5.4","5.3","92.6","99.1"
"544","Scotty Pippen Jr.","Lal","G","22.4","6","5.3","24.1","14","9","0.556","9","0.333","3","0.333","0.375","0.439","2.3","0.7","0.3","0.3","0.2","0.3","3","2.7","3.3","5.9","92.9","106.6"
"545","Davon Reed","Den","G","27.8","35","9","15","19.9","20","0.75","36","0.25","44","0.364","0.413","0.456","2.3","1.5","0.5","0.4","0.1","0.6","3.9","2.9","4.4","5.3","89.1","104.6"
"546","Khem Birch","Tor","C","30.5","20","8.1","11.1","19.8","5","0.8","30","0.6","2","0.5","0.609","0.629","2.2","1.3","0.4","0.3","0.3","0.4","3.4","2.5","3.8","5.2","113","102.6"
"547","Kennedy Chandler","Mem","G","20.6","36","7.8","15.7","17.8","13","0.462","68","0.485","15","0.133","0.434","0.44","2.2","1.1","1.6","0.3","0.1","0.5","3.2","3.8","4.8","8.1","101.2","110.3"
"548","Ron Harper Jr.","Tor","F","23","9","5.3","14.8","0","1","1","7","0.714","9","0.333","0.594","0.608","2.2","0.8","0.4","0","0.1","0","3","2.7","3.4","6.7","140.4","114.7"
